Plot Title: Diapause,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 10997590, SEN S/N: 10997590)","RH, % (LGR S/N: 10997590, SEN S/N: 10997590)","DewPt, °C (LGR S/N: 10997590, SEN S/N: 10997590)","Host Connected (LGR S/N: 10997590, SEN S/N: 10997590)","End Of File (LGR S/N: 10997590, SEN S/N: 10997590)"
1,4/21/2017 10:30,21.799,60.759,13.904,,
2,4/21/2017 11:00,21.728,61.969,14.141,,
3,4/21/2017 11:30,21.704,61.936,14.11,,
4,4/21/2017 12:00,21.728,61.969,14.141,,
5,4/21/2017 12:30,21.728,61.873,14.117,,
6,4/21/2017 13:00,21.68,61.452,13.966,,
7,4/21/2017 13:30,21.68,61.884,14.074,,
8,4/21/2017 14:00,21.728,62.046,14.16,,
9,4/21/2017 14:30,21.704,61.859,14.091,,
10,4/21/2017 15:00,21.68,61.751,14.041,,
11,4/21/2017 15:30,22.134,51.154,11.586,,
12,4/21/2017 16:00,21.441,54.537,11.916,,
13,4/21/2017 16:30,21.895,59.704,13.724,,
14,4/21/2017 17:00,28.177,67.816,21.692,,
15,4/21/2017 17:30,35.084,37.798,18.564,,
16,4/21/2017 18:00,27.757,39.533,12.764,,
17,4/21/2017 18:30,22.949,64.835,15.999,,
18,4/21/2017 19:00,23.093,69.686,17.273,,
19,4/21/2017 19:30,23.093,71.255,17.627,,
20,4/21/2017 20:00,23.093,71.419,17.663,,
21,4/21/2017 20:30,22.973,70.032,17.237,,
22,4/21/2017 21:00,22.997,71.81,17.658,,
23,4/21/2017 21:30,23.045,71.888,17.721,,
24,4/21/2017 22:00,23.045,72.018,17.75,,
25,4/21/2017 22:30,23.045,73.291,18.028,,
26,4/21/2017 23:00,23.045,72.684,17.896,,
27,4/21/2017 23:30,23.045,72.96,17.956,,
28,4/22/2017 0:00,23.045,73.054,17.977,,
29,4/22/2017 0:30,23.045,73.339,18.039,,
30,4/22/2017 1:00,23.045,72.96,17.956,,
31,4/22/2017 1:30,23.045,73.243,18.018,,
32,4/22/2017 2:00,23.045,73.007,17.967,,
33,4/22/2017 2:30,23.069,73.336,18.061,,
34,4/22/2017 3:00,23.045,72.458,17.846,,
35,4/22/2017 3:30,23.069,72.957,17.979,,
36,4/22/2017 4:00,23.069,72.635,17.908,,
37,4/22/2017 4:30,23.069,73.145,18.02,,
38,4/22/2017 5:00,23.069,72.635,17.908,,
39,4/22/2017 5:30,23.045,72.458,17.846,,
40,4/22/2017 6:00,23.045,73.148,17.997,,
41,4/22/2017 6:30,22.685,71.395,17.266,,
42,4/22/2017 7:00,22.661,70.838,17.119,,
43,4/22/2017 7:30,22.685,70.992,17.177,,
44,4/22/2017 8:00,22.709,70.871,17.173,,
45,4/22/2017 8:30,22.709,71.229,17.252,,
46,4/22/2017 9:00,22.685,70.953,17.168,,
47,4/22/2017 9:30,22.685,70.913,17.159,,
48,4/22/2017 10:00,22.709,71.31,17.27,,
49,4/22/2017 10:30,22.661,71.195,17.199,,
50,4/22/2017 11:00,22.685,71.072,17.194,,
51,4/22/2017 11:30,22.685,71.354,17.257,,
52,4/22/2017 12:00,22.685,71.477,17.284,,
53,4/22/2017 12:30,22.709,71.189,17.243,,
54,4/22/2017 13:00,22.733,71.266,17.284,,
55,4/22/2017 13:30,22.709,71.35,17.279,,
56,4/22/2017 14:00,22.709,71.068,17.217,,
57,4/22/2017 14:30,22.685,71.726,17.34,,
58,4/22/2017 15:00,22.685,71.395,17.266,,
59,4/22/2017 15:30,22.685,71.477,17.284,,
60,4/22/2017 16:00,22.709,71.229,17.252,,
61,4/22/2017 16:30,22.685,71.601,17.312,,
62,4/22/2017 17:00,22.685,71.518,17.294,,
63,4/22/2017 17:30,22.661,71.115,17.181,,
64,4/22/2017 18:00,22.661,70.491,17.042,,
65,4/22/2017 18:30,23.045,70.021,17.304,,
66,4/22/2017 19:00,23.045,69.13,17.101,,
67,4/22/2017 19:30,23.045,67.394,16.699,,
68,4/22/2017 20:00,23.021,66.726,16.519,,
69,4/22/2017 20:30,22.973,65.88,16.273,,
70,4/22/2017 21:00,23.021,65.898,16.323,,
71,4/22/2017 21:30,22.997,65.612,16.232,,
72,4/22/2017 22:00,23.021,65.659,16.266,,
73,4/22/2017 22:30,22.997,65.69,16.251,,
74,4/22/2017 23:00,23.021,65.477,16.222,,
75,4/22/2017 23:30,23.045,65.447,16.238,,
76,4/23/2017 0:00,23.045,65.681,16.294,,
77,4/23/2017 0:30,23.045,65.707,16.3,,
78,4/23/2017 1:00,23.045,65.974,16.364,,
79,4/23/2017 1:30,23.045,65.893,16.345,,
80,4/23/2017 2:00,23.045,65.734,16.307,,
81,4/23/2017 2:30,23.045,65.447,16.238,,
82,4/23/2017 3:00,23.021,65.451,16.216,,
83,4/23/2017 3:30,23.045,65.629,16.281,,
84,4/23/2017 4:00,23.045,65.602,16.275,,
85,4/23/2017 4:30,23.045,65.369,16.219,,
86,4/23/2017 5:00,23.045,65.576,16.269,,
87,4/23/2017 5:30,23.069,65.835,16.354,,
88,4/23/2017 6:00,23.045,65.318,16.207,,
89,4/23/2017 6:30,22.661,64.199,15.572,,
90,4/23/2017 7:00,22.661,63.855,15.488,,
91,4/23/2017 7:30,22.661,64.014,15.527,,
92,4/23/2017 8:00,22.661,63.63,15.433,,
93,4/23/2017 8:30,22.637,63.458,15.368,,
94,4/23/2017 9:00,22.661,63.742,15.461,,
95,4/23/2017 9:30,22.685,63.85,15.51,,
96,4/23/2017 10:00,22.685,63.625,15.455,,
97,4/23/2017 10:30,22.637,63.905,15.478,,
98,4/23/2017 11:00,22.637,63.658,15.417,,
99,4/23/2017 11:30,22.637,61.771,14.948,,
100,4/23/2017 12:00,22.637,62.732,15.189,,
101,4/23/2017 12:30,22.661,63.366,15.368,,
102,4/23/2017 13:00,22.637,63.069,15.272,,
103,4/23/2017 13:30,22.685,63.08,15.32,,
104,4/23/2017 14:00,22.685,63.493,15.422,,
105,4/23/2017 14:30,22.685,63.873,15.515,,
106,4/23/2017 15:00,22.661,63.63,15.433,,
107,4/23/2017 15:30,22.685,63.648,15.46,,
108,4/23/2017 16:00,22.685,63.471,15.417,,
109,4/23/2017 16:30,22.685,64.125,15.577,,
110,4/23/2017 17:00,22.709,62.759,15.263,,
111,4/23/2017 17:30,22.709,62.634,15.232,,
112,4/23/2017 18:00,22.685,63.08,15.32,,
113,4/23/2017 18:30,23.093,64.23,15.989,,
114,4/23/2017 19:00,23.069,62.373,15.507,,
115,4/23/2017 19:30,23.093,64.588,16.076,,
116,4/23/2017 20:00,23.069,65.729,16.328,,
117,4/23/2017 20:30,22.973,66.425,16.402,,
118,4/23/2017 21:00,23.021,65.844,16.31,,
119,4/23/2017 21:30,23.021,64.846,16.07,,
120,4/23/2017 22:00,23.021,66.113,16.374,,
121,4/23/2017 22:30,23.021,65.978,16.342,,
122,4/23/2017 23:00,23.021,65.765,16.291,,
123,4/23/2017 23:30,23.021,65.045,16.118,,
124,4/24/2017 0:00,23.045,65.576,16.269,,
125,4/24/2017 0:30,23.045,65.498,16.25,,
126,4/24/2017 1:00,23.045,66.028,16.377,,
127,4/24/2017 1:30,23.045,65.318,16.207,,
128,4/24/2017 2:00,23.045,65.421,16.232,,
129,4/24/2017 2:30,23.045,65.395,16.225,,
130,4/24/2017 3:00,23.045,65.421,16.232,,
131,4/24/2017 3:30,23.045,65.55,16.263,,
132,4/24/2017 4:00,23.045,65.707,16.3,,
133,4/24/2017 4:30,23.045,65.629,16.281,,
134,4/24/2017 5:00,23.045,65.421,16.232,,
135,4/24/2017 5:30,23.045,65.498,16.25,,
136,4/24/2017 6:00,23.045,65.55,16.263,,
137,4/24/2017 6:30,22.637,64.227,15.556,,
138,4/24/2017 7:00,22.637,63.792,15.45,,
139,4/24/2017 7:30,22.661,63.787,15.472,,
140,4/24/2017 8:00,22.661,64.339,15.606,,
141,4/24/2017 8:30,22.661,62.078,15.048,,
142,4/24/2017 9:00,22.661,63.021,15.283,,
143,4/24/2017 9:30,22.661,63.81,15.477,,
144,4/24/2017 10:00,22.685,63.85,15.51,,
145,4/24/2017 10:30,22.613,63.074,15.251,,
146,4/24/2017 11:00,22.661,62.873,15.247,,
147,4/24/2017 11:30,22.685,62.619,15.206,,
148,4/24/2017 12:00,22.661,62.958,15.268,,
149,4/24/2017 12:30,22.685,63.339,15.384,,
150,4/24/2017 13:00,22.709,63.334,15.406,,
151,4/24/2017 13:30,22.661,63.432,15.384,,
152,4/24/2017 14:00,22.685,63.274,15.368,,
153,4/24/2017 14:30,22.685,63.537,15.433,,
154,4/24/2017 15:00,22.685,63.231,15.358,,
155,4/24/2017 15:30,22.781,61.528,15.023,,
156,4/24/2017 16:00,22.781,62.172,15.185,,
157,4/24/2017 16:30,22.781,62.475,15.261,,
158,4/24/2017 17:00,22.805,62.801,15.365,,
159,4/24/2017 17:30,22.781,62.785,15.338,,
160,4/24/2017 18:00,22.781,61.759,15.081,,
161,4/24/2017 18:30,22.973,63.544,15.707,,
162,4/24/2017 19:00,22.973,64.855,16.027,,
163,4/24/2017 19:30,22.973,65.721,16.235,,
164,4/24/2017 20:00,22.997,65.302,16.157,,
165,4/24/2017 20:30,22.901,64.362,15.839,,
166,4/24/2017 21:00,22.949,64.235,15.854,,
167,4/24/2017 21:30,22.973,65.306,16.136,,
