Plot Title: PercivalNonDiapause,,,,,,
#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 10631872, SEN S/N: 10631872)","RH, % (LGR S/N: 10631872, SEN S/N: 10631872)","DewPt, °C (LGR S/N: 10631872, SEN S/N: 10631872)","Host Connected (LGR S/N: 10631872, SEN S/N: 10631872)","End Of File (LGR S/N: 10631872, SEN S/N: 10631872)"
1,8/23/2017 8:00,23.117,72.123,17.842,,
2,8/23/2017 9:00,23.045,71.991,17.744,,
3,8/23/2017 10:00,23.045,72.05,17.757,,
4,8/23/2017 11:00,22.973,71.919,17.659,,
5,8/23/2017 12:00,23.021,71.693,17.655,,
6,8/23/2017 13:00,23.093,71.265,17.629,,
7,8/23/2017 14:00,23.093,71.559,17.694,,
8,8/23/2017 15:00,22.997,72.305,17.767,,
9,8/23/2017 16:00,22.973,72.242,17.73,,
10,8/23/2017 17:00,22.949,71.914,17.635,,
11,8/23/2017 18:00,22.973,72.124,17.704,,
12,8/23/2017 19:00,22.925,72.086,17.649,,
13,8/23/2017 20:00,22.901,72.023,17.612,,
14,8/23/2017 21:00,22.973,71.831,17.639,,
15,8/23/2017 22:00,22.997,71.865,17.67,,
16,8/23/2017 23:00,23.021,71.693,17.655,,
17,8/24/2017 0:00,24.392,67.459,17.999,,
18,8/24/2017 1:00,24.392,67.279,17.957,,
19,8/24/2017 2:00,24.32,67.266,17.885,,
20,8/24/2017 3:00,24.344,67.241,17.901,,
21,8/24/2017 4:00,24.368,67.155,17.904,,
22,8/24/2017 5:00,24.368,67.215,17.918,,
23,8/24/2017 6:00,24.392,67.189,17.935,,
24,8/24/2017 7:00,24.32,67.326,17.899,,
25,8/24/2017 8:00,22.973,71.654,17.6,,
26,8/24/2017 9:00,22.973,71.654,17.6,,
27,8/24/2017 10:00,22.973,73.033,17.903,,
28,8/24/2017 11:00,22.925,72.115,17.656,,
29,8/24/2017 12:00,22.949,72.091,17.673,,
30,8/24/2017 13:00,23.021,71.575,17.629,,
31,8/24/2017 14:00,23.021,72.134,17.752,,
32,8/24/2017 15:00,22.997,72.012,17.702,,
33,8/24/2017 16:00,22.925,71.792,17.585,,
34,8/24/2017 17:00,22.901,71.817,17.567,,
35,8/24/2017 18:00,22.877,71.842,17.549,,
36,8/24/2017 19:00,22.949,71.856,17.622,,
37,8/24/2017 20:00,23.021,71.928,17.707,,
38,8/24/2017 21:00,22.997,71.865,17.67,,
39,8/24/2017 22:00,22.973,71.831,17.639,,
40,8/24/2017 23:00,22.973,71.566,17.581,,
41,8/25/2017 0:00,24.368,67.335,17.947,,
42,8/25/2017 1:00,24.368,67.335,17.947,,
43,8/25/2017 2:00,24.368,67.305,17.94,,
44,8/25/2017 3:00,24.344,67.181,17.887,,
45,8/25/2017 4:00,24.344,67.151,17.88,,
46,8/25/2017 5:00,24.368,67.215,17.918,,
47,8/25/2017 6:00,24.368,67.155,17.904,,
48,8/25/2017 7:00,24.296,67.202,17.846,,
49,8/25/2017 8:00,22.925,72.79,17.804,,
50,8/25/2017 9:00,22.877,71.989,17.582,,
51,8/25/2017 10:00,22.877,71.959,17.575,,
52,8/25/2017 11:00,22.925,71.675,17.559,,
53,8/25/2017 12:00,23.021,71.516,17.616,,
54,8/25/2017 13:00,23.021,71.693,17.655,,
55,8/25/2017 14:00,22.973,71.978,17.672,,
56,8/25/2017 15:00,22.901,72.111,17.632,,
57,8/25/2017 16:00,22.685,72.89,17.595,,
58,8/25/2017 17:00,22.757,72.406,17.558,,
59,8/25/2017 18:00,22.853,72.19,17.603,,
60,8/25/2017 19:00,22.925,72.233,17.682,,
61,8/25/2017 20:00,22.901,72.58,17.735,,
62,8/25/2017 21:00,22.781,72.235,17.544,,
63,8/25/2017 22:00,22.853,72.102,17.584,,
64,8/25/2017 23:00,22.877,71.93,17.569,,
65,8/26/2017 0:00,24.392,67.219,17.942,,
66,8/26/2017 1:00,24.368,67.275,17.933,,
67,8/26/2017 2:00,24.368,67.155,17.904,,
68,8/26/2017 3:00,24.392,67.099,17.914,,
69,8/26/2017 4:00,24.368,67.035,17.876,,
70,8/26/2017 5:00,24.392,67.129,17.921,,
71,8/26/2017 6:00,24.392,67.039,17.9,,
72,8/26/2017 7:00,24.344,67.151,17.88,,
73,8/26/2017 8:00,22.805,72.181,17.555,,
74,8/26/2017 9:00,22.805,72.034,17.523,,
75,8/26/2017 10:00,22.781,72.469,17.595,,
76,8/26/2017 11:00,22.805,72.474,17.619,,
77,8/26/2017 12:00,22.781,72.528,17.608,,
78,8/26/2017 13:00,22.781,72.352,17.57,,
79,8/26/2017 14:00,22.757,72.435,17.565,,
80,8/26/2017 15:00,22.781,72.469,17.595,,
81,8/26/2017 16:00,22.829,72.156,17.573,,
82,8/26/2017 17:00,23.021,71.811,17.681,,
83,8/26/2017 18:00,23.069,71.614,17.683,,
84,8/26/2017 19:00,23.069,71.702,17.703,,
85,8/26/2017 20:00,23.045,71.609,17.659,,
86,8/26/2017 21:00,23.021,71.516,17.616,,
