"Plot Title: Diapause"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10997590, SEN S/N: 10997590)","RH, % (LGR S/N: 10997590, SEN S/N: 10997590)","Host Connected (LGR S/N: 10997590)","End Of File (LGR S/N: 10997590)"
1,04/21/17 10:30:00 AM,21.799,60.759,,
2,04/21/17 11:00:00 AM,21.728,61.969,,
3,04/21/17 11:30:00 AM,21.704,61.936,,
4,04/21/17 12:00:00 PM,21.728,61.969,,
5,04/21/17 12:30:00 PM,21.728,61.873,,
6,04/21/17 01:00:00 PM,21.680,61.452,,
7,04/21/17 01:30:00 PM,21.680,61.884,,
8,04/21/17 02:00:00 PM,21.728,62.046,,
9,04/21/17 02:30:00 PM,21.704,61.859,,
10,04/21/17 03:00:00 PM,21.680,61.751,,
11,04/21/17 03:30:00 PM,22.134,51.154,,
12,04/21/17 04:00:00 PM,21.441,54.537,,
13,04/21/17 04:30:00 PM,21.895,59.704,,
14,04/21/17 05:00:00 PM,28.177,67.816,,
15,04/21/17 05:30:00 PM,35.084,37.798,,
16,04/21/17 06:00:00 PM,27.757,39.533,,
17,04/21/17 06:30:00 PM,22.949,64.835,,
18,04/21/17 07:00:00 PM,23.093,69.686,,
19,04/21/17 07:30:00 PM,23.093,71.255,,
20,04/21/17 08:00:00 PM,23.093,71.419,,
21,04/21/17 08:30:00 PM,22.973,70.032,,
22,04/21/17 09:00:00 PM,22.997,71.810,,
23,04/21/17 09:30:00 PM,23.045,71.888,,
24,04/21/17 10:00:00 PM,23.045,72.018,,
25,04/21/17 10:30:00 PM,23.045,73.291,,
26,04/21/17 11:00:00 PM,23.045,72.684,,
27,04/21/17 11:30:00 PM,23.045,72.960,,
28,04/22/17 12:00:00 AM,23.045,73.054,,
29,04/22/17 12:30:00 AM,23.045,73.339,,
30,04/22/17 01:00:00 AM,23.045,72.960,,
31,04/22/17 01:30:00 AM,23.045,73.243,,
32,04/22/17 02:00:00 AM,23.045,73.007,,
33,04/22/17 02:30:00 AM,23.069,73.336,,
34,04/22/17 03:00:00 AM,23.045,72.458,,
35,04/22/17 03:30:00 AM,23.069,72.957,,
36,04/22/17 04:00:00 AM,23.069,72.635,,
37,04/22/17 04:30:00 AM,23.069,73.145,,
38,04/22/17 05:00:00 AM,23.069,72.635,,
39,04/22/17 05:30:00 AM,23.045,72.458,,
40,04/22/17 06:00:00 AM,23.045,73.148,,
41,04/22/17 06:30:00 AM,22.685,71.395,,
42,04/22/17 07:00:00 AM,22.661,70.838,,
43,04/22/17 07:30:00 AM,22.685,70.992,,
44,04/22/17 08:00:00 AM,22.709,70.871,,
45,04/22/17 08:30:00 AM,22.709,71.229,,
46,04/22/17 09:00:00 AM,22.685,70.953,,
47,04/22/17 09:30:00 AM,22.685,70.913,,
48,04/22/17 10:00:00 AM,22.709,71.310,,
49,04/22/17 10:30:00 AM,22.661,71.195,,
50,04/22/17 11:00:00 AM,22.685,71.072,,
51,04/22/17 11:30:00 AM,22.685,71.354,,
52,04/22/17 12:00:00 PM,22.685,71.477,,
53,04/22/17 12:30:00 PM,22.709,71.189,,
54,04/22/17 01:00:00 PM,22.733,71.266,,
55,04/22/17 01:30:00 PM,22.709,71.350,,
56,04/22/17 02:00:00 PM,22.709,71.068,,
57,04/22/17 02:30:00 PM,22.685,71.726,,
58,04/22/17 03:00:00 PM,22.685,71.395,,
59,04/22/17 03:30:00 PM,22.685,71.477,,
60,04/22/17 04:00:00 PM,22.709,71.229,,
61,04/22/17 04:30:00 PM,22.685,71.601,,
62,04/22/17 05:00:00 PM,22.685,71.518,,
63,04/22/17 05:30:00 PM,22.661,71.115,,
64,04/22/17 06:00:00 PM,22.661,70.491,,
65,04/22/17 06:30:00 PM,23.045,70.021,,
66,04/22/17 07:00:00 PM,23.045,69.130,,
67,04/22/17 07:30:00 PM,23.045,67.394,,
68,04/22/17 08:00:00 PM,23.021,66.726,,
69,04/22/17 08:30:00 PM,22.973,65.880,,
70,04/22/17 09:00:00 PM,23.021,65.898,,
71,04/22/17 09:30:00 PM,22.997,65.612,,
72,04/22/17 10:00:00 PM,23.021,65.659,,
73,04/22/17 10:30:00 PM,22.997,65.690,,
74,04/22/17 11:00:00 PM,23.021,65.477,,
75,04/22/17 11:30:00 PM,23.045,65.447,,
76,04/23/17 12:00:00 AM,23.045,65.681,,
77,04/23/17 12:30:00 AM,23.045,65.707,,
78,04/23/17 01:00:00 AM,23.045,65.974,,
79,04/23/17 01:30:00 AM,23.045,65.893,,
80,04/23/17 02:00:00 AM,23.045,65.734,,
81,04/23/17 02:30:00 AM,23.045,65.447,,
82,04/23/17 03:00:00 AM,23.021,65.451,,
83,04/23/17 03:30:00 AM,23.045,65.629,,
84,04/23/17 04:00:00 AM,23.045,65.602,,
85,04/23/17 04:30:00 AM,23.045,65.369,,
86,04/23/17 05:00:00 AM,23.045,65.576,,
87,04/23/17 05:30:00 AM,23.069,65.835,,
88,04/23/17 06:00:00 AM,23.045,65.318,,
89,04/23/17 06:30:00 AM,22.661,64.199,,
90,04/23/17 07:00:00 AM,22.661,63.855,,
91,04/23/17 07:30:00 AM,22.661,64.014,,
92,04/23/17 08:00:00 AM,22.661,63.630,,
93,04/23/17 08:30:00 AM,22.637,63.458,,
