"Plot Title: PercivalNonDiapause"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10631872, SEN S/N: 10631872)","RH, % (LGR S/N: 10631872, SEN S/N: 10631872)","Host Connected (LGR S/N: 10631872)","End Of File (LGR S/N: 10631872)"
1,08/23/17 08:00:00 AM,23.117,72.123,,
2,08/23/17 09:00:00 AM,23.045,71.991,,
3,08/23/17 10:00:00 AM,23.045,72.050,,
4,08/23/17 11:00:00 AM,22.973,71.919,,
5,08/23/17 12:00:00 PM,23.021,71.693,,
6,08/23/17 01:00:00 PM,23.093,71.265,,
7,08/23/17 02:00:00 PM,23.093,71.559,,
8,08/23/17 03:00:00 PM,22.997,72.305,,
9,08/23/17 04:00:00 PM,22.973,72.242,,
10,08/23/17 05:00:00 PM,22.949,71.914,,
11,08/23/17 06:00:00 PM,22.973,72.124,,
12,08/23/17 07:00:00 PM,22.925,72.086,,
13,08/23/17 08:00:00 PM,22.901,72.023,,
14,08/23/17 09:00:00 PM,22.973,71.831,,
15,08/23/17 10:00:00 PM,22.997,71.865,,
16,08/23/17 11:00:00 PM,23.021,71.693,,
17,08/24/17 12:00:00 AM,24.392,67.459,,
18,08/24/17 01:00:00 AM,24.392,67.279,,
19,08/24/17 02:00:00 AM,24.320,67.266,,
20,08/24/17 03:00:00 AM,24.344,67.241,,
21,08/24/17 04:00:00 AM,24.368,67.155,,
22,08/24/17 05:00:00 AM,24.368,67.215,,
23,08/24/17 06:00:00 AM,24.392,67.189,,
24,08/24/17 07:00:00 AM,24.320,67.326,,
25,08/24/17 08:00:00 AM,22.973,71.654,,
26,08/24/17 09:00:00 AM,22.973,71.654,,
27,08/24/17 10:00:00 AM,22.973,73.033,,
28,08/24/17 11:00:00 AM,22.925,72.115,,
29,08/24/17 12:00:00 PM,22.949,72.091,,
30,08/24/17 01:00:00 PM,23.021,71.575,,
31,08/24/17 02:00:00 PM,23.021,72.134,,
32,08/24/17 03:00:00 PM,22.997,72.012,,
33,08/24/17 04:00:00 PM,22.925,71.792,,
34,08/24/17 05:00:00 PM,22.901,71.817,,
35,08/24/17 06:00:00 PM,22.877,71.842,,
36,08/24/17 07:00:00 PM,22.949,71.856,,
37,08/24/17 08:00:00 PM,23.021,71.928,,
38,08/24/17 09:00:00 PM,22.997,71.865,,
39,08/24/17 10:00:00 PM,22.973,71.831,,
40,08/24/17 11:00:00 PM,22.973,71.566,,
41,08/25/17 12:00:00 AM,24.368,67.335,,
42,08/25/17 01:00:00 AM,24.368,67.335,,
43,08/25/17 02:00:00 AM,24.368,67.305,,
44,08/25/17 03:00:00 AM,24.344,67.181,,
45,08/25/17 04:00:00 AM,24.344,67.151,,
46,08/25/17 05:00:00 AM,24.368,67.215,,
47,08/25/17 06:00:00 AM,24.368,67.155,,
48,08/25/17 07:00:00 AM,24.296,67.202,,
49,08/25/17 08:00:00 AM,22.925,72.790,,
50,08/25/17 09:00:00 AM,22.877,71.989,,
51,08/25/17 10:00:00 AM,22.877,71.959,,
52,08/25/17 11:00:00 AM,22.925,71.675,,
53,08/25/17 12:00:00 PM,23.021,71.516,,
54,08/25/17 01:00:00 PM,23.021,71.693,,
55,08/25/17 02:00:00 PM,22.973,71.978,,
